,CAS,Name,Formula,Mw,Elements,SMILES,InChi
454,101-55-3,"Benzene, 1-bromo-4-phenoxy-",C12H9BrO,247.9836775237227,"['C', 'H', 'Br', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
468,101-61-1,"Benzenamine, 4,4'-methylenebis[N,N-dimethyl-",C17H22N2,254.178298718122,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
478,101-67-7,"Diphenylamine, 4,4'-dioctyl-",C28H43N,393.339550390709,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
486,101-70-2,Di-(4-methoxy phenyl) amine,C14H15NO2,229.1102787271604,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
493,101-72-4,"P-phenylenediamine, n-isopropyl-n'-phenyl-",C15H18N2,226.146998589166,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
498,101-77-9,"Benzenamine, 4,4'-methylenebis-",C13H14N2,198.11569846020998,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
504,101-81-5,Diphenylmethane,C13H12,168.093900386868,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
508,101-83-7,"Cyclohexanamine, N-cyclohexyl-",C12H23N,181.183049745929,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
509,101-84-8,Diphenyl ether,C12H10O,170.0731649419617,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
550,101-99-5,Ethyl N-phenylcarbamate,C9H11NO2,165.0789785982044,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
